id,name,names,external_ids,website,wikipedia
1,University of Sydney,"{""ru"":""Сиднейский университет"",""es"":""Universidad de Sídney"",""zh"":""悉尼大学"",""ar"":""جامعة سيدني"",""fr"":""L'Université de Sydney"",""de"":""Universität Sydney"",""ja"":""シドニー大学"",""ko"":""시드니대학교"",""pt"":""Universidade de Sydney"",""en"":""University of Sydney""}","{""ISNI"":""0000 0004 1936 834X"",""FundRef"":""501100005157"",""OrgRef"":""14725975"",""Wikidata"":""Q487556""}",http://sydney.edu.au,http://en.wikipedia.org/wiki/University_of_Sydney
2,Lingnan University,[],"{""ISNI"":""0000 0004 1770 0716"",""OrgRef"":""1449430"",""Wikidata"":""Q1541161""}",http://www.ln.edu.hk,http://en.wikipedia.org/wiki/Lingnan_University_(Hong_Kong)
3,Moscow State University,"{""ru"":""Московский государственный университет им.М.В.Ломоносова"",""es"":""Universidad Estatal de Moscú"",""zh"":""莫斯科国立大学"",""ar"":""جامعة موسكو الحكومية"",""fr"":""Université d'État de Moscou"",""de"":""Staatliche Universität Moskau"",""ja"":""モスクワ大学"",""ko"":""모스크바 국립대학교"",""pt"":""Universidade Estatal de Moscovo""}","{""ISNI"":""0000 0001 2342 9668"",""OrgRef"":""374544"",""Wikidata"":""Q13164""}",http://www.msu.ru,http://ru.wikipedia.org/wiki/Московский_государственный_университет
4,ASA College,,"{""ISNI"":""0000 0004 0523 5255"",""OrgRef"":""30360219"",""Wikidata"":""Q4654066""}",http://www.asa.edu,http://en.wikipedia.org/wiki/ASA_The_College_For_Excellence
5,University of Cambridge,"{""ru"":""Кембриджский университет"",""es"":""Universidad de Cambridge"",""zh"":""剑桥大学"",""ar"":""جامعة كمبريدج"",""fr"":""Université de Cambridge"",""de"":""Universität Cambridge"",""ja"":""ケンブリッジ大学"",""ko"":""케임브리지대학교"",""pt"":""Universidade de Cambridge"",""cy"":""Prifysgol Caergrawnt""}","{""ISNI"":""0000000121885934"",""FundRef"":""501100006299"",""HESA"":""0114"",""UCAS"":""C0121"",""UKPRN"":""10007788"",""OrgRef"":""26015915"",""Wikidata"":""Q35794""}",http://www.cam.ac.uk,http://en.wikipedia.org/wiki/University_of_Cambridge
6,Massachusetts Institute of Technology,"{""ru"":""Массачусетский технологический институт"",""es"":""Instituto de Tecnología de Massachusetts"",""zh"":""麻省理工学院"",""ar"":""معهد ماساتشوسيتس للتكنولوجيا"",""fr"":""Institut de Technologie du Massachusetts"",""de"":""Institut für Technologie Massachusetts"",""ja"":""マサチューセッツ工科大学"",""ko"":""매사추세츠공과대학교"",""pt"":""Instituto de Tecnologia de Massachusetts""}","{""ISNI"":""0000 0001 2341 2786"",""FundRef"":""100006507"",""OrgRef"":""18879"",""Wikidata"":""Q49108""}",http://www.mit.edu,http://en.wikipedia.org/wiki/Massachusetts_Institute_of_Technology
7,Florida International University,"{""ru"":""Международный  университет Флориды"",""es"":""Universidad Internacional de Florida"",""zh"":""佛罗里达国际大学"",""ar"":""جامعة فلوريدا الدولية"",""fr"":""Université internationale de Florida"",""de"":""Florida International University"",""ja"":""フロリダ国際大学"",""ko"":""플로리다국제대학교"",""pt"":""Universidade Internacional da Flórida""}","{""ISNI"":""0000 0001 2110 1845"",""FundRef"":""100008034    "",""OrgRef"":""1468069"",""Wikidata"":""Q1065809""}",http://www.fiu.edu,http://en.wikipedia.org/wiki/Florida_International_University
8,University of Queensland,"{""ru"":""Квинслендский университет"",""es"":""Universidad de Queensland"",""zh"":""昆士兰大学"",""ar"":""جامعة كوينزلاند"",""fr"":""l'Université du Queensland"",""de"":""University of Queensland"",""ja"":""クイーンズランド大学"",""ko"":""퀸즐랜드대학교"",""pt"":""Universidade de Queensland""}","{""ISNI"":""0000 0000 9320 7537"",""FundRef"":""501100005268"",""OrgRef"":""192819"",""Wikidata"":""Q866012""}",http://www.uq.edu.au,https://en.wikipedia.org/wiki/University_of_Queensland
9,Nanyang Technological University,"{""ru"":""Наньянский технологический университет"",""es"":""Universidad Tecnológica de Nanyang"",""zh"":""南洋理工大学"",""ar"":""جامعة نانيانغ التكنولوجية"",""fr"":""Université technologique Nanyang"",""de"":""Technische Universität Nanyang"",""ja"":""南洋理工大学"",""ko"":""난양기술대학"",""pt"":""Universidade Tecnológica de Nanyang"",""ta"":""நன்யாங் தொழில்நுட்பப் பல்கலைக்கழகம்"",""ms"":""Universiti Teknologi Nanyang""}","{""ISNI"":""0000 0001 2224 0361"",""FundRef"":""501100006124"",""OrgRef"":""47000828"",""Wikidata"":""Q721064""}",http://www.ntu.edu.sg,http://en.wikipedia.org/wiki/Nanyang_Technological_University
10,Saint Petersburg State University of Architecture and Civil Engineering,,$http://spbgasu.ru$http://en.wikipedia.org/wiki/Saint-Petersburg_State_University_of_Architecture_and_Civil_Engineering
