in.form	in.admin	in.specs	style	category_color	category	category_en	category_ru	group_ru	group_en	code	admin	title_en	short_en	title_ru	units_en	units_ru	scale	description_ru	example_ru	Qyestion	comment_ru	description_en
				#efefef	general	General	Основное			drbmx1r	type	Type	Type	Тип				Основная категория к которой относится устройство	Сматрфон, Умные часы, Фитнес браслет			
1	1			#efefef	general	General	Основное			w81a9u0	brand	Brand	Brand	Бренд				Главный разработчик устройства, под брендом, которого выпускается товар	Samsung, Apple, Xiaomi			
1	1			#efefef	general	General	Основное			33fksng	model	Model	Model	Модель					iPhone X, Mi Band 2			
				#efefef	general	General	Основное			3n68sce	price	Minimum price	Price	Минимальная цена								
1	1			#efefef	general	General	Основное			zgxvylx	announced	Announced date		Анонсирование				Дата представления товара компанией производителем				
1	1			#efefef	general	General	Основное			2lbcv9f	release	Release date		Выпуск				Дата когда товар поступил в продажу				
1	1			#efefef	general	General	Основное			qsmxy90	manufacturer	Manufacturer		Производитель				Организация, которая непосредственно производит устройство				
1	1			#efefef	general	General	Основное			1dan76c	made.in	Country of production		Страна производства				Страна, в которой происходит непосредственно производство товара				
1	1			#efefef	general	General	Основное			vh0iqm2	website	Official website		Официальный сайт				Официальный сайт разработчика	mi.com, huawei.com, fitbit.com		Адрес указывается без http и www	
1	1			#efefef	general	General	Основное			y1kpha1c	versions	Versions		Версии								
1	1			#efefef	general	General	Основное			ywkpha1b	alt. name	Alternative name		Альтернативное название								
1	1			#efefef	general	General	Основное			ywkph11b	compatible brand	Compatible brand		Совместимый бренд								
1	1			#efefef	general	General	Основное			ywkph12b	compatible devices	Compatible device		Совместимые устройства								
1	1			#efefef	general	General	Основное			34fksng	series	Series	Model	Серия					iPhone X, Mi Band 2			
1	1			#efefef	general	General	Основное			35fksng	hits gsmarena	Hits: GSMarena	Model	Кол-во просмотров: GSMarena					iPhone X, Mi Band 2			
				#efefef	statistics	Statistics	Статистика			q4x1lci	reviews	Total reviews		Всего отзывов								
		1	rating	#f4cccc	indicator	Indicator	Показатель			mnfrlet	motivat.	Motivation	Motiv.	Мотивация			0-10					
		1	rating	#f4cccc	indicator	Indicator	Показатель			bkaqn4m	u.rating	User rating	U.Rating	Отзывы			0-10					
		1	rating	#f4cccc	indicator	Indicator	Показатель			uw8mqnl	funct.	Functionality	Functi	Функциональность			0-10					
		1	rating	#f4cccc	indicator	Indicator	Показатель			0x0vrnr	comfort	Comfortable	Comfort	Комфорт			0-10					
		1	rating	#f4cccc	indicator	Indicator	Показатель			xct0067	g.rating	General rating	G.Rating	Общий рейтинг			0-10					
		1	rating	#f4cccc	indicator	Indicator	Показатель			4iups22	value	Value for money	Value	Выгодность			0-10					
		1	rating	#f4cccc	indicator	Indicator	Показатель			50wydm5	general	Sesors accuracy	A.Gen.	Точность сенсоров			0-10					
		1	rating	#f4cdb1	sensor	Sensors	Сенсоры			ctwc1qc	puls	Pulsometer	A.Puls.	Пульсометр			0-10					
		1	rating	#f4cdb1	sensor	Sensors	Сенсоры			h1ddzrt	pedom.	Accelerometer	A.Pedom.	Шагомер			0-10					
		1	rating	#f4cdb1	sensor	Sensors	Сенсоры			e61kgyj	sleep	Sleep analysis	A.Sleep	Анализ сна			0-10					
		1	rating	#f4cdb1	sensor	Sensors	Сенсоры			x399jxz	barometer	Barometr		Барометр								
		1	rating	#d0e0e3	sensor	Sensors	Сенсоры			fpfb4xc	altimeter	Altimeter		Высотомер								
		1	rating	#f4cdb1	sensor	Sensors	Сенсоры			h88pkmdy	light	Light sensor		Датчик освещённости								
		1	rating	#f4cdb1	sensor	Sensors	Сенсоры			k626aelh	thermometer	Thermometer		Термометр								
		1	rating	#f4cdb1	sensor	Sensors	Сенсоры			ywtcejg	gyrosсope	Gyrosсope		Гироскоп								
		1	rating	#f4cdb1	sensor	Sensors	Сенсоры			ywtcej1	uv sensor	UV sensor		УФ дачик								
		1	rating	#f4cdb1	sensor	Sensors	Сенсоры			h88pkmd1	proxim.sensor	Proximity sensor		Датчик приближения								
1	1	1		#f4efd3	navigation	Navigation	Навигация			7ri9whh	outGPS	Connected GPS	Connected GPS	Подключенный GPS								
1	1	1		#f4efd3	navigation	Navigation	Навигация			yfvshn2	inGPS	GPS	Build in GPS	GPS								
1	1	1		#f4efd3	navigation	Navigation	Навигация			39ji8mm	glonass	GLONASS		ГЛОНАСС								
1	1	1		#f4efd3	navigation	Navigation	Навигация			x0xgsbn	compass	Compass		Компас								
1	1	1		#f4efd3	navigation	Navigation	Навигация			x0xgsbz	navigator	Navigator		Навигатор								
1	1	1		#f4efd3	navigation	Navigation	Навигация			x0xgsbl	gps time sync.	GPS time synchronization		Синхронизация времени по GPS								
1	1	1		#f4efd3	navigation	Navigation	Навигация			x1xgsbl	a-gps	A-GPS		A-GPS								
1	1	1		#f4efd3	navigation	Navigation	Навигация			x1xgsb1	bds	BDS		BDS								
1	1	1		#fbffe2	design	Design	Дизайн	Корпус		rt0qxrl	material.sensor	Material sensor		Материал датчика								
1	1	1		#fbffe2	design	Design	Дизайн	Корпус		3bjbzrk	material.strap	Material strap		Материал ремешка								
1	1	1		#fbffe2	design	Design	Дизайн	Корпус		3bjbzry	material.cover	Material cover		Материал задней части								
1	1	1		#fbffe2	design	Design	Дизайн	Корпус		3bjbzra	material.frame	Material frame		Материал рамки								
1	1	1		#fbffe2	design	Design	Дизайн	Корпус		ly7hk3b	dimensions	Dimensions		Габариты	mm.	мм.		(ШхВхТ)				(WxHxD)
1	1	1		#fbffe2	design	Design	Дизайн	Корпус		65ihv16	width	Item width	Width	Ширина товара	mm.	мм.						
1	1	1		#fbffe2	design	Design	Дизайн	Корпус		qorav98	height	Item height	Height	Высота товара	mm.	мм.						
1	1	1		#fbffe2	design	Design	Дизайн	Корпус		vbryix7	depth	Item depth	Depth	Глубина товара	mm.	мм.						
1	1	1		#fbffe2	design	Design	Дизайн	Корпус		uanzwi8	weight	Item weight	Weight	Вес предмета	gram	грам						
1	1	1		#fbffe2	design	Design	Дизайн	Корпус		ywkph16b	weight body	Body weight	Weight	Вес корпуса	gram	грам						
1	1	1		#fbffe2	design	Design	Дизайн			ywkphzzz	thinnest point	Thinnest point	Weight	Толщина (в самой тонкой точке)	mm.	мм.						
1	1	1		#fbffe2	design	Design	Дизайн			cc1cqt0	re.strap	Replaceable straps		Сменные ремешки								
1	1	1		#fbffe2	design	Design	Дизайн			yln26cd	strap.size	Strap dimensions		Размеры ремешка								
1	1	1		#fbffe2	design	Design	Дизайн			s8j8g7h	buttons	Buttons		Кнопки								
1	1	1		#fbffe2	design	Design	Дизайн			ywkph17b	weight cord	Cord weight	Weight	Вес браслета	gram	грам						
1	1	1		#fbffe2	design	Design	Дизайн			zwkph17b	body material	Body material	Weight	Материал корпуса								
1	1			#fbffe2	design	Design	Дизайн			ywkph10b	colors	Colors		Доступные цвета								
1	1			#fbffe2	design	Design	Дизайн	Корпус		ywkph19b	body color	Body color		Цвета корпуса								
1	1			#fbffe2	design	Design	Дизайн	Корпус		ywkph20b	cord color	Cord color		Цвета ремешка								
1	1	1		#e8ecd1	package	Package	Упаковка			r393dad	weight	Package weight	P.weight	Вес упаковки	gram	грам						
1	1	1		#e8ecd1	package	Package	Упаковка			i9scmdd	width	Package width	P.width	Ширина упаковки	mm.	мм.						
1	1	1		#e8ecd1	package	Package	Упаковка			r1qovw5	height	Package height	P.height	Высота упаковки	mm.	мм.						
1	1	1		#e8ecd1	package	Package	Упаковка			vw1xwnp	depth	Package depth	depth	Глубина упаковки	mm.	мм.						
1	1	1		#d9d2e9	display	Display	Дисплей			xxyv5nx	type	Display type	Size	Тип дисплея								
1	1	1		#d9d2e9	display	Display	Дисплей			1n820fz	size	Display size		Размер дисплея	inches	дюймов						
1	1	1		#d9d2e9	display	Display	Дисплей			aakph19b	second front display	Second front display		Второй фронтальный дисплей								
1	1	1		#d9d2e9	display	Display	Дисплей			aakph191	display availability	Display availability		Наличие дисплея								
1	1	1		#d9d2e9	display	Display	Дисплей			aakph19z	second front display size	Second front display size		Размер второго фронтального дисплея								
1	1	1		#d9d2e9	display	Display	Дисплей			aakph22z	second front display res.	Second front display resolution		Разрешение второго фронтального дисплея								
1	1	1		#d9d2e9	display	Display	Дисплей			aakph23z	always-on display sec. front disp.	Always-on display second front display		Always-on display второго фронтального дисплея								
1	1	1		#d9d2e9	display	Display	Дисплей			ywkph18b	screen shape	Screen shape		Форма экрана								
